run_id,paradigm,seed,accuracy,precision,recall,f1_score,auroc,loss,tp,tn,fp,fn,training_time_seconds,timestamp,epochs_completed,experiment_timestamp,base_seed,configured_epochs,configured_rounds
0,centralized,42,0.8000330924987793,0.6327534317970276,0.8754578828811646,0.7345773577690125,0.9010740518569946,0.10135754942893982,,,,,4534.353264808655,2025-12-28T12:18:12.277359,10,2025-12-28T21:08:06.064090,42,10,10
1,centralized,43,0.7224611043930054,0.5356160402297974,0.9167974591255188,0.6761868000030518,0.8821861743927002,0.10555329918861389,,,,,2569.4493749141693,2025-12-28T13:01:01.730463,6,2025-12-28T21:08:06.064090,42,10,10
2,centralized,44,0.8087992072105408,0.6680017709732056,0.785452663898468,0.7219817042350769,0.8915705680847168,0.10599000006914139,,,,,3888.085175037384,2025-12-28T14:05:49.817219,9,2025-12-28T21:08:06.064090,42,10,10
3,centralized,45,0.8028448820114136,0.6467946171760559,0.8288853764533997,0.7266054749488831,0.8889815807342529,0.10795603692531586,,,,,4601.547904014587,2025-12-28T15:22:31.369348,10,2025-12-28T21:08:06.064090,42,10,10
4,centralized,46,0.7790274620056152,0.6060494184494019,0.8597592711448669,0.7109476327896118,0.8842891454696655,0.10451318323612213,,,,,2654.274384498596,2025-12-28T16:06:45.648732,6,2025-12-28T21:08:06.064090,42,10,10
5,centralized,47,0.7977175116539001,0.6350078582763672,0.8466771245002747,0.7257232666015625,0.895779550075531,0.1008526086807251,,,,,4330.477191448212,2025-12-28T17:18:56.130005,10,2025-12-28T21:08:06.064090,42,10,10
6,centralized,48,0.7750579118728638,0.5957594513893127,0.8969126343727112,0.7159565687179565,0.8983976244926453,0.09937974065542221,,,,,4323.415543079376,2025-12-28T18:30:59.551144,10,2025-12-28T21:08:06.064090,42,10,10
7,centralized,49,0.7380086183547974,0.5530327558517456,0.8922030329704285,0.6828193664550781,0.8776483535766602,0.10701095312833786,,,,,2792.668019771576,2025-12-28T19:17:32.225323,6,2025-12-28T21:08:06.064090,42,10,10
8,centralized,50,0.7691035270690918,0.591800332069397,0.8686551451683044,0.703986406326294,0.8829846978187561,0.10490307211875916,,,,,3299.0416431427,2025-12-28T20:12:31.272025,7,2025-12-28T21:08:06.064090,42,10,10
9,centralized,51,0.7833278179168701,0.6113375425338745,0.8634222745895386,0.7158351540565491,0.8874498605728149,0.10399199277162552,,,,,3317.814173221588,2025-12-28T21:07:49.093359,7,2025-12-28T21:08:06.064090,42,10,10
